Year,Smoothing,TransectID,GAN_dist_m,GT_dist_m,GAN_is_multipoint,abs_error_m
2023,none,128,194.47985818737652,,True,
2023,none,129,488.6314118220472,,True,
2023,none,131,,305.9917081678286,True,
2023,none,134,,,True,
2023,none,136,-104.96418513904882,,True,
2023,none,137,-156.75181644968688,,True,
2023,none,138,,,True,
2023,none,143,-9.708224594709463,,True,
2023,none,147,,,True,
2023,none,148,,,True,
2023,none,150,,,False,
2023,none,151,-63.36858673999086,,True,
2023,none,157,-45.25202084099874,,True,
2023,none,158,,,True,
2023,none,161,-113.22596833604621,,True,
2023,none,165,-64.68131854245439,,True,
2023,none,167,6.591080842073893,,True,
2023,none,168,-218.70192568487255,,True,
2023,none,170,-61.71379535272729,,True,
2023,none,174,,,True,
2023,none,183,,,False,
2023,none,184,-12.105303412303329,,True,
2023,none,185,,,True,
2023,none,186,-136.42654359852895,,True,
2023,none,189,-233.29448345443234,,True,
2023,none,194,15.938586141273731,,True,
2023,none,195,-451.33694631792616,,True,
2023,none,196,-89.55044565687422,,True,
2023,none,199,-53.70254989294335,,True,
2023,none,207,-56.19957357319072,,True,
2023,none,209,488.4297624676252,,True,
2023,none,210,-295.9385861164776,,True,
2023,none,211,210.19621271619667,,True,
2023,none,213,-189.97463926114142,,True,
2023,none,214,-201.26617685065162,,True,
2023,none,215,-50.78184986562701,,True,
2023,none,216,,,True,
2023,none,217,,,True,
2023,none,220,-29.499725044413935,,True,
2023,none,222,-168.48195782629773,,True,
2023,none,224,-367.2808445668197,,True,
2023,none,226,-153.89997140085325,,True,
2023,none,229,,,True,
2023,none,231,-0.03477186936652288,,True,
2023,none,233,10.19554128264997,,True,
2023,none,236,-9.592146281152964,,True,
2023,none,242,195.70976373506699,,True,
2023,none,244,-193.9966053934769,,True,
2023,none,245,-58.98716357565729,,True,
2023,none,261,-21.87651752581587,,True,
2023,none,263,-59.56007919553667,,True,
2023,none,264,-63.11877737665793,,False,
2023,none,265,-135.54712749784812,,True,
2023,gaussian,1,,,False,
2023,gaussian,2,,,False,
2023,gaussian,3,,,False,
2023,gaussian,4,,,False,
2023,gaussian,8,,,False,
2023,gaussian,9,-41.0142811818514,,True,
2023,gaussian,10,25.6089361240156,,True,
2023,gaussian,13,1.3836718811652418,,False,
2023,gaussian,14,-78.12694140819963,,False,
2023,gaussian,15,-127.3439273887717,471.36414227811724,False,598.708069666889
2023,gaussian,16,-156.36516012252616,341.3641407890517,False,497.72930091157787
2023,gaussian,17,,,True,
2023,gaussian,18,-182.5280373862381,,True,
2023,gaussian,19,-225.1111149903545,-255.5954413611139,False,30.48432637075939
2023,gaussian,23,-308.92650793772043,-326.1889276736084,False,17.26241973588799
